id,title,popularity,budget,revenue,genres_list,director,cast_size
19995,Avatar,150.437577,237000000,2787965087,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",James Cameron,83
285,Pirates of the Caribbean: At World's End,139.082615,300000000,961000000,"['Adventure', 'Fantasy', 'Action']",Gore Verbinski,34
206647,Spectre,107.376788,245000000,880674609,"['Action', 'Adventure', 'Crime']",Sam Mendes,83
49026,The Dark Knight Rises,112.31295,250000000,1084939099,"['Action', 'Crime', 'Drama', 'Thriller']",Christopher Nolan,158
49529,John Carter,43.926995,260000000,284139100,"['Action', 'Adventure', 'Science Fiction']",Andrew Stanton,27
559,Spider-Man 3,115.699814,258000000,890871626,"['Fantasy', 'Action', 'Adventure']",Sam Raimi,143
38757,Tangled,48.681969,260000000,591794936,"['Animation', 'Family']",Byron Howard,13
99861,Avengers: Age of Ultron,134.279229,280000000,1405403694,"['Action', 'Adventure', 'Science Fiction']",Joss Whedon,72
767,Harry Potter and the Half-Blood Prince,98.885637,250000000,933959197,"['Adventure', 'Fantasy', 'Family']",David Yates,49
209112,Batman v Superman: Dawn of Justice,155.790452,250000000,873260194,"['Action', 'Adventure', 'Fantasy']",Zack Snyder,152
1452,Superman Returns,57.925623,270000000,391081192,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",Bryan Singer,18
10764,Quantum of Solace,107.928811,200000000,586090727,"['Adventure', 'Action', 'Thriller', 'Crime']",Marc Forster,32
58,Pirates of the Caribbean: Dead Man's Chest,145.847379,200000000,1065659812,"['Adventure', 'Fantasy', 'Action']",Gore Verbinski,33
57201,The Lone Ranger,49.046956,255000000,89289910,"['Action', 'Adventure', 'Western']",Gore Verbinski,60
49521,Man of Steel,99.398009,225000000,662845518,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Zack Snyder,33
2454,The Chronicles of Narnia: Prince Caspian,53.978602,225000000,419651413,"['Adventure', 'Family', 'Fantasy']",Andrew Adamson,21
24428,The Avengers,144.448633,220000000,1519557910,"['Science Fiction', 'Action', 'Adventure']",Joss Whedon,115
1865,Pirates of the Caribbean: On Stranger Tides,135.413856,380000000,1045713802,"['Adventure', 'Action', 'Fantasy']",Rob Marshall,35
41154,Men in Black 3,52.035179,225000000,624026776,"['Action', 'Comedy', 'Science Fiction']",Barry Sonnenfeld,18
122917,The Hobbit: The Battle of the Five Armies,120.965743,250000000,956019788,"['Action', 'Adventure', 'Fantasy']",Peter Jackson,42
1930,The Amazing Spider-Man,89.866276,215000000,752215857,"['Action', 'Adventure', 'Fantasy']",Marc Webb,57
20662,Robin Hood,37.668301,200000000,310669540,"['Action', 'Adventure']",Ridley Scott,34
57158,The Hobbit: The Desolation of Smaug,94.370564,250000000,958400000,"['Adventure', 'Fantasy']",Peter Jackson,32
2268,The Golden Compass,42.990906,180000000,372234864,"['Adventure', 'Fantasy']",Chris Weitz,29
254,King Kong,61.22601,207000000,550000000,"['Adventure', 'Drama', 'Action']",Peter Jackson,33
597,Titanic,100.025899,200000000,1845034188,"['Drama', 'Romance', 'Thriller']",James Cameron,136
271110,Captain America: Civil War,198.372395,250000000,1153304495,"['Adventure', 'Action', 'Science Fiction']",Anthony Russo,100
44833,Battleship,64.928382,209000000,303025485,"['Thriller', 'Action', 'Adventure', 'Science Fiction']",Peter Berg,46
135397,Jurassic World,418.708552,150000000,1513528810,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",Colin Trevorrow,28
37724,Skyfall,93.004993,200000000,1108561013,"['Action', 'Adventure', 'Thriller']",Sam Mendes,24
558,Spider-Man 2,35.149586,200000000,783766341,"['Action', 'Adventure', 'Fantasy']",Sam Raimi,76
68721,Iron Man 3,77.68208,200000000,1215439994,"['Action', 'Adventure', 'Science Fiction']",Shane Black,107
12155,Alice in Wonderland,78.530105,200000000,1025491110,"['Family', 'Fantasy', 'Adventure']",Tim Burton,35
36668,X-Men: The Last Stand,3.857526,210000000,459359555,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",Brett Ratner,32
62211,Monsters University,89.186492,200000000,743559607,"['Animation', 'Family']",Dan Scanlon,24
8373,Transformers: Revenge of the Fallen,21.939663,150000000,836297228,"['Science Fiction', 'Action', 'Adventure']",Michael Bay,37
91314,Transformers: Age of Extinction,116.840296,210000000,1091405097,"['Science Fiction', 'Action', 'Adventure']",Michael Bay,41
68728,Oz: The Great and Powerful,46.985445,200000000,491868548,"['Fantasy', 'Adventure', 'Family']",Sam Raimi,159
102382,The Amazing Spider-Man 2,89.270217,200000000,705717432,"['Action', 'Adventure', 'Fantasy']",Marc Webb,65
20526,TRON: Legacy,73.79505,170000000,400062763,"['Adventure', 'Action', 'Science Fiction']",Joseph Kosinski,23
49013,Cars 2,49.98659,200000000,559852396,"['Animation', 'Family', 'Adventure', 'Comedy']",John Lasseter,47
44912,Green Lantern,51.872839,200000000,219851172,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",Martin Campbell,23
10193,Toy Story 3,59.995418,200000000,1066969703,"['Animation', 'Family', 'Comedy']",Lee Unkrich,45
534,Terminator Salvation,71.862892,200000000,371353001,"['Action', 'Science Fiction', 'Thriller']",McG,15
168259,Furious 7,102.322217,190000000,1506249360,['Action'],James Wan,52
72190,World War Z,81.834855,200000000,531865000,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",Marc Forster,22
127585,X-Men: Days of Future Past,118.078691,250000000,747862775,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Bryan Singer,65
54138,Star Trek Into Darkness,78.291018,190000000,467365246,"['Action', 'Adventure', 'Science Fiction']",J.J. Abrams,98
81005,Jack the Giant Slayer,43.349855,195000000,197687603,"['Action', 'Family', 'Fantasy']",Bryan Singer,23
64682,The Great Gatsby,61.196071,105000000,351040419,"['Drama', 'Romance']",Baz Luhrmann,31
